"ITTER107","Territory","TIPO_DATO15","Demographic data type","SEXISTAT1","Gender","ETA1","Age","STATCIV2","Marital status","TIME","Select time","Value","Flag Codes","Flags"
"ITC1","Piemonte","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",4273210,"p","provisional data"
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",123895,"p","provisional data"
"ITC3","Liguria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",1509805,"p","provisional data"
"ITC4","Lombardia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",9966992,"p","provisional data"
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",533715,"p","provisional data"
"ITD2","Provincia Autonoma Trento","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",544745,"p","provisional data"
"ITD3","Veneto","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",4852453,"p","provisional data"
"ITD4","Friuli-Venezia Giulia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",1198753,"p","provisional data"
"ITD5","Emilia-Romagna","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",4445549,"p","provisional data"
"ITE1","Toscana","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",3668333,"p","provisional data"
"ITE2","Umbria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",865013,"p","provisional data"
"ITE3","Marche","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",1501406,"p","provisional data"
"ITE4","Lazio","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",5720796,"p","provisional data"
"ITF1","Abruzzo","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",1285256,"p","provisional data"
"ITF2","Molise","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",296547,"p","provisional data"
"ITF3","Campania","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",5679759,"p","provisional data"
"ITF4","Puglia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",3926931,"p","provisional data"
"ITF5","Basilicata","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",547579,"p","provisional data"
"ITF6","Calabria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",1877728,"p","provisional data"
"ITG1","Sicilia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",4840876,"p","provisional data"
"ITG2","Sardegna","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",1598225,"p","provisional data"
